fin_levels,thickness_mm,gap_mm,root_radius_mm,span_mm,duct,oil_w,h_a,h_b,h_delta,dp_max_pa,dp_delta,t_max_c,pass
14,2.4,3.5,2.0,86.0,shroud16,600.0,205.37841187508818,199.4706752745439,0.029617068235283622,3084.733361470299,0.11492943597926897,308.26628715537834,False
12,2.4,3.5,2.0,100.0,splitter12,600.0,231.0243912877597,222.92634850253492,0.036326090835030626,6971.545527837884,0.08217763537332423,297.86847857948,False
12,2.4,4.5,2.0,100.0,exhaust_jets8,1200.0,200.45528912930214,193.4475483450229,0.03622553422998464,7911.819663768476,0.08158108240059714,262.2620281580066,False
12,2.0,3.5,4.0,100.0,open,600.0,165.8262409358738,162.11724312346166,0.022878490535319145,1137.1841994654608,0.13600302551347523,309.89726078003423,False
12,2.0,4.5,2.0,86.0,open,1200.0,148.11605305853888,144.6651784792099,0.023854217135085475,887.2858772118383,0.3290872931123488,309.9126621839862,False
12,2.4,4.5,4.0,100.0,shroud16,600.0,166.2995198878973,162.0352481793674,0.02631693879228992,1868.3230626687148,0.20243083861700462,309.959896190363,False
12,2.0,3.5,2.0,100.0,shroud16,600.0,202.53876553829645,195.9693109062487,0.03352287458514647,3184.269930545077,0.11971574788868973,310.4223714683119,False
14,2.0,3.5,4.0,86.0,open,600.0,164.0977970340929,160.52913470167638,0.022230620871709312,1102.0833525146852,0.12738815214834456,310.7063444549325,False
12,2.0,4.5,3.0,100.0,splitter12,600.0,181.64826984133705,175.51486930858218,0.034945190438374844,4138.459685733687,0.12492613170247986,310.8145361998496,False
14,2.0,3.5,2.0,86.0,shroud16,600.0,200.48553378508245,194.12268872362438,0.032777441438166764,3084.733361470299,0.11492943597926897,311.0598058115378,False
12,2.0,3.5,2.0,100.0,splitter12,600.0,224.9040085369969,216.32977769786345,0.03963500046262076,6971.545527837884,0.08217763537332423,300.65591746941254,False
12,2.0,4.5,2.0,100.0,exhaust_jets8,1200.0,195.78395369439093,188.4015973524362,0.03918414942175262,7911.819663768476,0.08158108240059714,264.5285213593089,False
12,2.0,4.5,4.0,100.0,shroud16,600.0,163.0357043096559,158.4362705691858,0.029030181813460534,1868.3230626687148,0.20243083861700462,312.77093875880735,False
12,2.4,3.5,2.0,86.0,shroud16,600.0,230.7126717714562,222.67960988585733,0.03607452828625177,4308.4292404006665,0.1360558059550749,312.83435670813105,False
14,2.4,3.5,3.0,100.0,open,600.0,149.95675233984878,147.76093805097432,0.014860587093166332,814.1969712149155,0.09752534497623833,312.89741259874654,False
12,2.4,3.5,4.0,86.0,open,600.0,188.61974700574783,183.99341585531485,0.025144003816261223,1539.2734427684447,0.16588543609008105,312.9323277061404,False
12,2.4,4.5,3.0,86.0,splitter12,600.0,206.80096627537952,199.2866231214484,0.03770620945968743,5598.531195280001,0.13240185531801513,313.5799126205918,False
14,2.0,3.5,3.0,100.0,open,600.0,147.28395394124863,144.74596182452657,0.01753411345456962,814.1969712149155,0.09752534497623833,315.329698884716,False
14,2.4,3.5,4.0,100.0,splitter12,0.0,205.66042343929385,199.6971883335516,0.02986138741113342,4991.461590937183,0.07026418246019632,315.8344919896201,False
12,2.4,4.5,4.0,86.0,shroud16,600.0,185.4741854493245,179.75867150435167,0.03179548389594359,2528.3256690710227,0.2171456493566183,315.9129609456512,False
12,2.0,3.5,2.0,86.0,shroud16,600.0,224.60793617280137,216.09676079646218,0.03938594611492453,4308.4292404006665,0.1360558059550749,316.0547485550103,False
12,2.0,3.5,4.0,86.0,open,600.0,184.4620018071138,179.40582638403617,0.02818289419572351,1539.2734427684447,0.16588543609008105,316.16745078017516,False
